"","lag_ar","lag_ma","lag_arch","lag_garch","AIC","BIC","type_model","type_dist","model_name"
"45",0,1,4,5,-9.42563442288475,-9.37432102389563,"sGARCH","norm","ARMA(0,1)+sGARCH(4,5) norm"
"46",0,1,5,1,-9.40751219455418,-9.36902714531234,"sGARCH","norm","ARMA(0,1)+sGARCH(5,1) norm"
"47",0,1,5,2,-9.42254737844641,-9.37978621262215,"sGARCH","norm","ARMA(0,1)+sGARCH(5,2) norm"
"48",0,1,5,3,-9.42085522755596,-9.37381794514927,"sGARCH","norm","ARMA(0,1)+sGARCH(5,3) norm"
"49",0,1,5,4,-9.42528335041762,-9.37396995142851,"sGARCH","norm","ARMA(0,1)+sGARCH(5,4) norm"
"50",0,1,5,5,-9.42397319645515,-9.3683836808836,"sGARCH","norm","ARMA(0,1)+sGARCH(5,5) norm"
"51",0,2,1,1,-9.40895422589611,-9.38329752640155,"sGARCH","norm","ARMA(0,2)+sGARCH(1,1) norm"
"52",0,2,1,2,-9.42881173571248,-9.39887891963549,"sGARCH","norm","ARMA(0,2)+sGARCH(1,2) norm"
"53",0,2,1,3,-9.42674457139941,-9.39253563874,"sGARCH","norm","ARMA(0,2)+sGARCH(1,3) norm"
"54",0,2,1,4,-9.43099603342264,-9.3925109841808,"sGARCH","norm","ARMA(0,2)+sGARCH(1,4) norm"
"55",0,2,1,5,-9.42888555861475,-9.38612439279048,"sGARCH","norm","ARMA(0,2)+sGARCH(1,5) norm"
"56",0,2,2,1,-9.40738784929278,-9.37745503321579,"sGARCH","norm","ARMA(0,2)+sGARCH(2,1) norm"
"57",0,2,2,2,-9.4271417826707,-9.39293285001129,"sGARCH","norm","ARMA(0,2)+sGARCH(2,2) norm"
"58",0,2,2,3,-9.42504695596279,-9.38656190672096,"sGARCH","norm","ARMA(0,2)+sGARCH(2,3) norm"
"59",0,2,2,4,-9.42929842399913,-9.38653725817487,"sGARCH","norm","ARMA(0,2)+sGARCH(2,4) norm"
"60",0,2,2,5,-9.42720070545693,-9.38016342305024,"sGARCH","norm","ARMA(0,2)+sGARCH(2,5) norm"
"61",0,2,3,1,-9.40535669176517,-9.37114775910576,"sGARCH","norm","ARMA(0,2)+sGARCH(3,1) norm"
"62",0,2,3,2,-9.42500119411588,-9.38651614487404,"sGARCH","norm","ARMA(0,2)+sGARCH(3,2) norm"
"63",0,2,3,3,-9.42334591067052,-9.38058474484625,"sGARCH","norm","ARMA(0,2)+sGARCH(3,3) norm"
"64",0,2,3,4,-9.42761912122812,-9.38058183882143,"sGARCH","norm","ARMA(0,2)+sGARCH(3,4) norm"
"65",0,2,3,5,-9.42551056075983,-9.37419716177071,"sGARCH","norm","ARMA(0,2)+sGARCH(3,5) norm"
"66",0,2,4,1,-9.4031960146637,-9.36471096542187,"sGARCH","norm","ARMA(0,2)+sGARCH(4,1) norm"
"67",0,2,4,2,-9.42287860664177,-9.38011744081751,"sGARCH","norm","ARMA(0,2)+sGARCH(4,2) norm"
